AskerId,AnswererId
10851981,10392672
10851981,4476294
5931672,5931672
4790871,4790871
8858832,472876
8858832,8858832
4166932,4166932
6714608,8860764
6714608,5597718
1269281,8375120
1269281,5154274
867889,2891324
867889,3987085
11043686,11708503
11043686,11708503
11043686,10353697
6197534,5786339
2543622,2097240
5048010,5495381
5048010,2641587
9144990,7389608
9144990,9698684
9144990,1782792
9144990,11015427
1930737,9393102
8100895,423926
8100895,7985142
11037865,6036772
11037865,5597718
2230045,2956066
2230045,4983450
2230045,7077050
7374225,8497354
7374225,9481613
7374225,10953776
7248145,1782792
4729764,10886420
4729764,5884955
930254,2650249
7212365,867889
2259468,9794742
11006135,7114624
11006135,7569024
11006135,5287913
3084689,2891324
1150683,10886420
10242641,5825953
7327257,1782792
1654930,2956066
1654930,5154274
7469434,3574081
8078072,10921263
11255365,9483495
10133610,1621414
583464,2966061
239879,10886420
239879,2097240
239879,6901690
239879,366553
3861775,9883438
3861775,2641587
3861775,1782792
5920668,3302563
5920668,3987085
5920668,2161778
72583,1782792
4877104,5495381
1492229,7730044
1492229,3572842
4850133,1782792
1273987,5763590
2084944,7405530
2084944,2084944
12118244,5786339
11541912,1699075
8946701,7389608
11766668,5668710
11766668,5298937
9328846,9328846
9039646,9039646
10870968,9565342
10870968,349130
1587329,1587329
1587329,5069957
3236215,5154274
10345968,453616
11277304,9849170
11277304,11277304
11277304,8625500
1435046,5154274
1435046,5499527
433570,11390620
7540723,2604336
11190642,2641587
10726895,1782792
82898,2540707
2547172,7131757
2243184,1782792
4345719,2641587
6919063,5884955
6919063,6919063
4541944,9698684
4541944,4932316
9134476,9134476
1917160,1917160
567620,4867484
567620,2097240
1519955,5597718
1519955,8234169
6878758,6878758
12010696,12010696
12010696,8563649
3736306,3987085
3736306,10878733
5535604,9074534
5535604,11530462
3201721,3201721
4958717,3214872
7655027,2455494
1886357,5140223
1886357,11666391
1419123,5118431
1419123,5298937
1133286,7059474
7886651,5668710
7886651,1440565
5113410,4909087
4788501,4788501
11640774,6117017
11597209,11478354
5856770,4255553
10929548,2455494
10168321,5228890
1447953,1447953
4727788,7389608
7105492,5154274
7105492,7105492
7105492,11374868
10227526,2891324
10378403,2653663
1050648,5154274
6617195,867889
6617195,5154274
6617195,5652313
6791416,4755954
11295709,328036
11249772,10886420
10463548,1782792
583464,2966061
6691064,3090511
9999035,10921263
8413477,1782792
8413477,1373669
3861775,2641587
3861775,5786339
11061454,2097240
11055762,11055762
11055762,5786339
10311158,9883438
9565342,1462770
6488190,6488190
6488190,6341510
3851047,9828197
12131586,9218240
2155179,4752675
11768065,9273406
4227746,3190076
5272461,11162165
5272461,11919358
5272461,10023182
11893504,1782792
11867828,2099607
5531816,5810950
9845070,11522398
11831676,2455494
6642021,2455494
10748773,5140223
7776975,5495304
7484435,5879698
7484435,11869182
888624,888624
2544048,6642182
8512669,2455494
6997665,921729
7934786,1699075
10609482,10609482
2680707,1782792
626537,867889
5349476,10951310
5349476,867889
4025960,11127923
11484456,2455494
988709,1621414
10092506,11530462
7133431,5154274
5807031,5154274
3187403,5154274
9929884,7093741
9186974,1427424
9186974,2641587
2647513,7389608
7034613,1782792
5368083,5368083
3466910,5786339
583464,1234909
4688722,4688722
8372455,9140084
8372455,11065347
11096006,1782792
11078155,11096626
1782553,5023986
1782553,7328782
2796123,1782792
1984680,10787274
10952448,10952448
6195861,7389608
5865579,1462770
10895943,5069957
4977634,9862053
4153034,5986252
3694044,931303
10449967,2455494
8419797,1801968
8419797,8419797
11208496,3987085
11208496,1782792
4790871,4790871
5597531,3987085
10897543,1782792
11351605,11351605
11384432,11384432
4556387,4556387
11328673,11329409
4688722,7389608
880783,880783
4406595,4406595
6510273,11147295
6510273,5154274
4699994,10455493
4699994,10001536
9371809,9371809
9371809,7674214
9371809,10722885
4537989,6904782
4537989,1487756
4283218,4283218
4283218,2292767
4283218,2292767
4283218,2292767
9400421,11086438
9929884,3595278
9929884,5786339
2110869,8112138
2110869,3769033
3314143,10787274
3314143,2641587
6714608,6858244
6714608,2878244
6714608,9362747
11867828,2099607
10938547,7645361
10938547,9155909
10938547,9687785
5989288,5810950
5989288,11669446
8316412,10371987
8316412,349130
1191087,887802
1191087,5154274
9772204,5154274
6637138,2097240
4426009,2097240
3854476,4936825
3854476,3854476
7766024,1782792
7766024,2455494
6458245,349130
6458245,3250829
6458245,11588671
2359080,1621414
2443944,9393102
4051544,5154274
4051544,1782792
7274157,5069957
7274157,1410665
3753287,11015427
3753287,3753287
6239947,3987085
7779411,1782792
7779411,5600318
1179925,1179925
3319713,5786339
7703497,10886420
11107475,9110909
11107475,4685471
336920,8112138
10843767,9973203
10843767,8726146
2723224,5495381
6714608,5495381
10709127,9393102
2890590,992432
2890590,10968882
3161801,10915600
5052482,1868775
5052482,3991470
4371768,841994
11713857,2036766
11713857,10418086
11713857,1782792
347484,3653343
347484,2160809
6249001,6249001
6249001,3325672
7748163,2097240
260826,443806
11499783,11499783
11499783,8474650
11499783,3411080
11801882,1782792
11801882,6265630
11718632,9393102
11733048,10685311
11733048,2455494
5368083,1466792
5368083,7059474
9364931,2097240
7713497,4790871
2163392,8625500
4332075,4917205
2184122,7721459
906835,5154274
5430317,7579547
10092506,423926
4947590,2956066
5652313,3607203
4975860,5154274
4975860,7259671
5046896,1803124
2961244,4789373
1435046,5154274
8807447,5154274
7622324,2099607
7622324,7469434
1093333,10127761
1093333,1849998
1093333,11339311
9301213,5154274
7560008,423926
3259896,1735003
4985990,5154274
4985990,10868996
1576254,5786339
6059213,9047837
10344561,11137398
7152553,11250738
